titulo,descricao,tags,imagens
Museu Vasco da Gama,"2026 · Sistema de identidade visual do museu do Club de Regatas Vasco da Gama, que cuida do acervo histórico do clube.","identidade visual, Vasco","assets/imagens/museuvasco/museu_vasco_1.webp, assets/imagens/museuvasco/museu_vasco_2.webp, assets/imagens/museuvasco/museu_vasco_3.webp"
Fonte Carlos Ruas,"2022 · Fonte customizada para o quadrinista Carlos Ruas, compondo a identidade do seu traço em diferentes publicações.",type,assets/imagens/fonte_ruas/fonte_ruas_1.webp
Temakinho,"2014 · Logotipo para restaurante nipo-brasileiro na Europa. Inicialmente identificava a unidade em Ibiza, e atualmente é a marca principal da rede.  ",identidade visual ,"assets/imagens/temakinho/temakinho_1.webp, assets/imagens/temakinho/temakinho_2.webp"
Tipografia Artesanal Urbana,2006 · Coleção de fontes vernaculares desenvolvidas a partir de referências das ruas de São Gonçalo/RJ e Niterói/RJ.,type,"assets/imagens/tau/tau_1.webp, assets/imagens/tau/tau_2.webp, assets/imagens/tau/tau_3.webp, assets/imagens/tau/tau_4.webp, assets/imagens/tau/tau_5.webp"
Fonte Um Sábado Qualquer,"2013 · Fonte customizada desenvolvida para a tirinha Um Sábado Qualquer, de Carlos Ruas, e usada em diferentes publicações.",type,assets/imagens/usq/fonte_usq_1.webp
