titulo,descricao,tags,imagens
Museu Vasco da Gama,"2026 · Sistema de identidade visual do museu do Club de Regatas Vasco da Gama, que cuida do acervo histórico do clube.","identidade visual, vasco","assets/imagens/museuvasco/museu_vasco_1.webp, assets/imagens/museuvasco/museu_vasco_2.webp, assets/imagens/museuvasco/museu_vasco_3.webp"
Fonte Carlos Ruas,"2022 · Fonte customizada para o quadrinista Carlos Ruas, mantendo o seu traço também nas letras de diferentes publicações.",type,assets/imagens/fonte_ruas/fonte_ruas_1.webp
Temakinho,"2014 · Logotipo para restaurante nipo-brasileiro na Europa. Inicialmente aplicado na unidade de Ibiza (ESP), passou a ser utilizado na identidade visual de toda a rede.  ","identidade visual, lettering","assets/imagens/temakinho/temakinho_1.webp, assets/imagens/temakinho/temakinho_2.webp"
Fonte Coca-Cola Light Plus,"2009 · Fonte customizada desenvolvida pela type foundry Outras Fontes, aplicada na identidade visual criada pela agência Ana Couto para a Coca-Cola Light Plus no Brasil. ",type,"assets/imagens/coca/coca_1.webp, assets/imagens/coca/coca_2.webp, assets/imagens/coca/coca_3.webp"
Tipografia Artesanal Urbana,2006 · Coleção de fontes vernaculares desenvolvidas a partir de referências das ruas de São Gonçalo/RJ e Niterói/RJ.,type,"assets/imagens/tau/tau_1.webp, assets/imagens/tau/tau_2.webp, assets/imagens/tau/tau_3.webp, assets/imagens/tau/tau_4.webp, assets/imagens/tau/tau_5.webp"
Fonte Um Sábado Qualquer,"2013 · Fonte customizada desenvolvida para a tirinha Um Sábado Qualquer, de Carlos Ruas, e usada em diferentes publicações.",type,assets/imagens/usq/fonte_usq_1.webp
Passaporte Verde,"2015 · Letterings artesanais estilo naif, em vídeo produzido pela Homem de Lata Filmes para campanha oficial de turismo sustentável lançada pelo PNUMA (Programa das Nações Unidas para o Meio Ambiente), em parceria com o Comitê Rio 2016 para os Jogos Olímpicos e Paralímpicos.",lettering,"assets/imagens/passaporte/passaporte_1.webp, assets/imagens/passaporte/passaporte_2.webp, assets/imagens/passaporte/passaporte_3.webp "
