titulo,descricao,tags,imagens
Museu Vasco da Gama,Marca para o museu do Club de Regatas Vasco da Gama,"identidade visual, Vasco",assets/imagens/museu_vasco_1.png
Fonte Coca-Cola Light Plus,"Família tipográfica desenvolvida pela type foundry Outras Fontes, para a Coca-Cola Light Plus no Brasil. ",type,"https://picsum.photos/id/1015/600/400, https://picsum.photos/id/1016/600/400, https://picsum.photos/id/1018/600/400, https://picsum.photos/id/1020/600/400"
Tipografia Artesanal Urbana,Conjunto de fontes vernaculares disponibilizadas para download gratuitamente.,type,"https://picsum.photos/id/1025/600/400, https://picsum.photos/id/1026/600/400, https://picsum.photos/id/1027/600/400, https://picsum.photos/id/1028/600/400"
Fonte Um Sábado Qualquer,"Família tipográfica desenvolvida para a tirinha Um Sábado Qualquer, de Carlos Ruas.",type,"https://picsum.photos/id/1029/600/400, https://picsum.photos/id/1030/600/400, https://picsum.photos/id/1031/600/400, https://picsum.photos/id/1032/600/400"
"Niterói de outros tempos: fatos, festas e fotos",Livro sobre vida e obra do jornalista e fotógrafo Carlos Ruas.,editorial,
